tweet_id,retweet_count,favorite_count
892420643555336193,7724,36291
892177421306343426,5718,31291
891815181378084864,3786,23563
891689557279858688,7878,39583
891327558926688256,8506,37791
891087950875897856,2848,19040
890971913173991426,1855,11090
890729181411237888,17240,61134
890609185150312448,3924,26198
890240255349198849,6718,29936
890006608113172480,6700,28817
889880896479866881,4564,26214
889665388333682689,9151,45129
889638837579907072,4105,25401
889531135344209921,2061,14213
889278841981685760,4874,23665
888917238123831296,4114,27348
888804989199671297,3881,24034
888554962724278272,3184,18558
888078434458587136,3166,20455
887705289381826560,4921,28420
887517139158093824,10771,43569
887473957103951883,16456,64585
887343217045368832,9570,31623
887101392804085760,5452,28772
886983233522544640,7018,32841
886736880519319552,2940,11264
886680336477933568,4086,21109
886366144734445568,2894,19877
886267009285017600,4,111
886258384151887873,5774,26309
886054160059072513,100,0
885984800019947520,6142,30598
885528943205470208,5846,33786
885518971528720385,3408,19245
885311592912609280,16941,0
885167619883638784,3999,20582
884925521741709313,16552,72447
884876753390489601,5108,26173
884562892145688576,4302,22826
884441805382717440,5212,25464
884247878851493888,18597,68212
884162670584377345,2738,19177
883838122936631299,3145,20542
883482846933004288,9035,43063
883360690899218434,3388,21314
883117836046086144,6071,34863
882992080364220416,3562,22450
882762694511734784,4477,26577
882627270321602560,5561,26306
882268110199369728,10591,42148
882045870035918850,4471,27554
881906580714921986,3112,22872
881666595344535552,9773,47591
881633300179243008,7,118
881536004380872706,14608,46479
881268444196462592,4822,21850
880935762899988482,2552,16048
880872448815771648,3508,20011
880465832366813184,5694,26802
880221127280381952,3813,25361
880095782870896641,3975,25992
879862464715927552,3207,21032
879674319642796034,10,297
879492040517615616,2915,22083
879415818425184262,40660,99474
879376492567855104,2864,15805
879130579576475649,6234,0
879050749262655488,4300,21202
879008229531029506,2461,17876
878776093423087618,3748,18213
878604707211726852,6517,28350
878404777348136964,1179,0
878316110768087041,6109,0
878281511006478336,1179,7281
878057613040115712,6234,39636
877736472329191424,17387,74604
877611172832227328,73,0
877556246731214848,3495,21388
877316821321428993,4774,25800
877201837425926144,5123,25512
876838120628539392,3062,19494
876537666061221889,4304,22263
876484053909872640,2180,17692
876120275196170240,4294,26372
875747767867523072,3923,23717
875144289856114688,4513,20660
875097192612077568,5594,25874
875021211251597312,4344,24040
874680097055178752,4264,26229
874434818259525634,13384,0
874296783580663808,3780,24586
874057562936811520,3668,21444
874012996292530176,9449,32381
873580283840344065,3626,22871
873337748698140672,1473,0
873213775632977920,1473,6771
872967104147763200,5001,25797
872820683541237760,3437,13933
872620804844003328,3369,19583
872486979161796608,8348,38551
872122724285648897,7487,32492
871879754684805121,10175,35584
871762521631449091,3233,19152
871515927908634625,3222,19113
871166179821445120,5290,0
871102520638267392,5114,19826
871032628920680449,3550,21566
870804317367881728,5742,31896
870726314365509632,3,114
870656317836468226,2454,11735
870374049280663552,24596,78720
870308999962521604,3864,20812
870063196459192321,7737,34681
869772420881756160,9406,40394
869702957897576449,5871,26851
869596645499047938,2909,15174
869227993411051520,3525,19416
868880397819494401,13465,62219
868639477480148993,1938,0
868622495443632128,4950,25413
868552278524837888,1938,9605
867900495410671616,3910,23055
867774946302451713,6877,32383
867421006826221569,2330,15338
867072653475098625,112,0
867051520902168576,7383,30735
866720684873056260,4492,19127
866686824827068416,3274,18418
866450705531457537,33044,116674
866334964761202691,13384,50068
866094527597207552,7867,0
865718153858494464,5283,24522
865359393868664832,4708,25308
865006731092295680,7239,26799
864873206498414592,8181,30892
864279568663928832,2845,13955
864197398364647424,8335,28736
863907417377173506,3901,19732
863553081350529029,3950,14636
863471782782697472,2293,0
863432100342583297,4949,22802
863427515083354112,91,2116
863079547188785154,1048,8429
863062471531167744,2293,8119
862831371563274240,4861,18419
862722525377298433,3344,16414
862457590147678208,4662,19644
862096992088072192,21911,71282
861383897657036800,10145,34683
861288531465048066,3921,16499
861005113778896900,3617,16065
860981674716409858,2037,0
860924035999428608,761,0
860563773140209665,2037,7207
860524505164394496,5045,22745
860276583193509888,3330,17701
860184849394610176,5559,16082
860177593139703809,29406,0
859924526012018688,3901,18876
859851578198683649,3341,14877
859607811541651456,1488,17959
859196978902773760,28721,86601
859074603037188101,13002,32646
858860390427611136,7746,0
858843525470990336,3326,15054
858471635011153920,4639,20790
858107933456039936,2779,15239
857989990357356544,2481,15573
857746408056729600,10175,33157
857393404942143489,1573,5706
857263160327368704,4330,19427
857214891891077121,17,219
857062103051644929,164,0
857029823797047296,3824,18299
856543823941562368,2774,15849
856526610513747968,1803,11526
856330835276025856,646,0
856288084350160898,15,500
856282028240666624,6052,26962
855862651834028034,25,329
855860136149123072,941,4788
855857698524602368,2039,11547
855851453814013952,17385,44492
855818117272018944,5239,25964
855459453768019968,7942,29063
855245323840757760,5763,0
855138241867124737,43,0
854732716440526848,5875,22210
854482394044301312,6664,28616
854365224396361728,4544,18448
854120357044912130,7252,31273
854010172552949760,3058,15880
853760880890318849,5579,27975
853639147608842240,9771,33967
853299958564483072,3461,15179
852936405516943360,1945,0
852912242202992640,1769,8868
852672615818899456,2105,14640
852553447878664193,3385,16012
852311364735569921,9715,32573
852226086759018497,6688,19628
852189679701164033,1554,11270
851861385021730816,19,0
851591660324737024,3406,16024
851464819735769094,6910,23890
851224888060895234,5620,20373
850753642995093505,8964,30361
850380195714523136,2563,12916
850333567704068097,321,3411
850145622816686080,3724,16116
850019790995546112,4789,20148
849776966551130114,7467,30055
849668094696017920,4874,0
849412302885593088,3107,15686
849336543269576704,1869,11291
849051919805034497,8350,41862
848690551926992896,4254,24927
848324959059550208,4544,24454
848213670039564288,721,8088
848212111729840128,2997,16158
847978865427394560,3215,0
847971574464610304,426,0
847962785489326080,5014,23288
847842811428974592,1316,5395
847617282490613760,410,6929
847606175596138505,3384,18608
847251039262605312,4264,20334
847157206088847362,5779,19722
847116187444137987,3142,21299
846874817362120707,3885,19937
846514051647705089,11435,44286
846505985330044928,3041,14007
846153765933735936,8954,31411
846139713627017216,9915,30837
846042936437604353,2833,15886
845812042753855489,8623,29050
845677943972139009,4750,25040
845397057150107648,1790,7595
845306882940190720,5344,23215
845098359547420673,7585,0
844979544864018432,2537,13563
844973813909606400,3165,15004
844580511645339650,3101,16394
844223788422217728,2183,13591
843981021012017153,2925,15124
843856843873095681,4588,21393
843604394117681152,2728,16829
843235543001513987,5990,21454
842846295480000512,3621,15245
842765311967449089,1277,6713
842535590457499648,3487,18056
842163532590374912,5763,24415
842115215311396866,3019,13954
841833993020538882,15034,0
841680585030541313,7779,25687
841439858740625411,3675,12635
841320156043304961,5484,19779
841314665196081154,4640,15824
841077006473256960,5290,22858
840761248237133825,1764,0
840728873075638272,16105,0
840698636975636481,2,174
840696689258311684,972,12289
840632337062862849,1764,9010
840370681858686976,4535,16458
840268004936019968,5726,19271
839990271299457024,2275,13422
839549326359670784,7746,27497
839290600511926273,144,0
839239871831150596,6530,27159
838952994649550848,4005,19680
838921590096166913,2067,11185
838916489579200512,35,0
838831947270979586,11009,0
838561493054533637,1339,10961
838476387338051585,4776,22547
838201503651401729,10075,0
838150277551247360,332,1675
838085839343206401,1,139
838083903487373313,3140,17668
837820167694528512,7867,34229
837482249356513284,443,3856
837471256429613056,2278,12842
837110210464448512,2370,16120
836989968035819520,2293,12812
836753516572119041,4654,19382
836677758902222849,2232,12648
836648853927522308,556,0
836397794269200385,27591,0
836380477523124226,3000,14821
836260088725786625,4315,21390
836001077879255040,4281,19158
835685285446955009,8164,0
835574547218894849,3637,17871
835536468978302976,1707,0
835309094223372289,21044,0
835297930240217089,3029,16552
835264098648616962,1707,7779
835246439529840640,73,2113
835172783151792128,5793,26285
835152434251116546,3032,22512
834931633769889797,1651,10860
834786237630337024,5525,21446
834574053763584002,2556,13744
834477809192075265,10710,0
834458053273591808,1694,9674
834209720923721728,4780,20720
834167344700198914,3682,15913
834089966724603904,2149,10108
834086379323871233,2222,13146
833863086058651648,2421,13498
833826103416520705,3799,18155
833732339549220864,222,0
833722901757046785,3244,20925
833479644947025920,2062,14933
833124694597443584,4874,20334
832998151111966721,2217,13354
832769181346996225,39,0
832757312314028032,3654,16967
832682457690300417,2938,11968
832645525019123713,535,2954
832636094638288896,2814,15964
832397543355072512,2234,12043
832369877331693569,3215,17304
832273440279240704,2356,11430
832215909146226688,6249,0
832215726631055365,9409,0
832088576586297345,2,62
832040443403784192,9699,0
832032802820481025,4699,18006
831939777352105988,6189,24197
831926988323639298,34,338
831911600680497154,6562,27821
831670449226514432,1840,10535
831650051525054464,1945,7209
831552930092285952,2332,9045
831322785565769729,1564,9351
831315979191906304,1133,6599
831309418084069378,2483,11853
831262627380748289,2066,12013
830956169170665475,1512,8046
830583320585068544,16941,67418
830173239259324417,5738,0
830097400375152640,2980,9895
829878982036299777,5078,0
829861396166877184,1970,12334
829501995190984704,10710,32051
829449946868879360,2045,10554
829141528400556032,7436,24631
829011960981237760,16467,53595
828801551087042563,3451,0
828770345708580865,5933,25824
828708714936930305,11300,36858
828650029636317184,1364,9608
828409743546925057,1177,6411
828408677031882754,1305,7749
828381636999917570,2237,12708
828376505180889089,1083,7452
828372645993398273,2976,12674
828361771580813312,173,2216
828046555563323392,2907,11880
828011680017821696,2170,10457
827933404142436356,5310,20320
827653905312006145,3052,15664
827600520311402496,955,7520
827324948884643840,3097,16035
827199976799354881,2249,10693
826958653328592898,5078,21821
826848821049180160,10302,36784
826615380357632002,4035,0
826598799820865537,257,5170
826598365270007810,2376,10160
826476773533745153,4249,18626
826240494070030336,2643,13451
826204788643753985,936,4930
826115272272650244,3178,15841
825876512159186944,1898,10595
825829644528148480,2522,12875
825535076884762624,17755,57459
825147591692263424,4600,18533
825120256414846976,1281,0
825026590719483904,1281,6385
824796380199809024,5572,0
824775126675836928,3572,15135
824663926340194305,1768,10221
824325613288833024,10666,11975
824297048279236611,3927,15261
824025158776213504,605,4883
823939628516474880,2750,10757
823719002937630720,11370,0
823699002998870016,2555,14174
